组播测试,#genre#
深圳卫视(高清),udp://239.3.3.40:10001
深圳卫视(高清),http://123.183.78.112:808/hls/40/index.m3u8
湖北卫视(高清),udp://239.3.3.41:10001
湖北卫视(高清),http://123.183.78.112:808/hls/41/index.m3u8
东方卫视(高清),udp://239.3.3.42:10001
东方卫视(高清),http://123.183.78.112:808/hls/42/index.m3u8
重庆卫视(高清),udp://239.3.3.43:10001
重庆卫视(高清),http://123.183.78.112:808/hls/43/index.m3u8
东南卫视(高清),udp://239.3.3.44:10001
东南卫视(高清),http://123.183.78.112:808/hls/44/index.m3u8
广东卫视(高清),udp://239.3.3.45:10001
广东卫视(高清),http://123.183.78.112:808/hls/45/index.m3u8
广西卫视(高清),udp://239.3.3.46:10001
广西卫视(高清),http://123.183.78.112:808/hls/46/index.m3u8
吉林卫视(高清),udp://239.3.3.47:10001
吉林卫视(高清),http://123.183.78.112:808/hls/47/index.m3u8
黑龙江卫视(高清),udp://239.3.3.79:10001
黑龙江卫视(高清),http://123.183.78.112:808/hls/79/index.m3u8
陕西卫视,udp://239.3.3.48:10001
陕西卫视,http://123.183.78.112:808/hls/48/index.m3u8
山西卫视,udp://239.3.3.49:10001
山西卫视,http://123.183.78.112:808/hls/49/index.m3u8
内蒙古卫视,udp://239.3.3.50:10001
内蒙古卫视,http://123.183.78.112:808/hls/50/index.m3u8
青海卫视,udp://239.3.3.51:10001
青海卫视,http://123.183.78.112:808/hls/51/index.m3u8
宁夏卫视,udp://239.3.3.53:10001
宁夏卫视,http://123.183.78.112:808/hls/53/index.m3u8
西藏卫视,udp://239.3.3.54:10001
西藏卫视,http://123.183.78.112:808/hls/54/index.m3u8
新疆卫视,udp://239.3.3.55:10001
新疆卫视,http://123.183.78.112:808/hls/55/index.m3u8
甘肃卫视,udp://239.3.3.56:10001
甘肃卫视,http://123.183.78.112:808/hls/56/index.m3u8
卡酷动画,udp://239.3.3.57:10001
卡酷动画,http://123.183.78.112:808/hls/57/index.m3u8
金鹰卡通(高清),udp://239.3.3.58:10001
金鹰卡通(高清),http://123.183.78.112:808/hls/58/index.m3u8
金鹰纪实(高清),udp://239.3.3.87:10001
金鹰纪实(高清),http://123.183.78.112:808/hls/87/index.m3u8
CCTV-5+(高清),udp://239.3.3.61:10001
CCTV-5+(高清),http://123.183.78.112:808/hls/61/index.m3u8
CETV-1(高清),udp://239.3.3.85:10001
CETV-1(高清),http://123.183.78.112:808/hls/85/index.m3u8
CETV-4,udp://239.3.3.92:10001
CETV-4,http://123.183.78.112:808/hls/92/index.m3u8
国防军事,udp://239.3.3.88:10001
国防军事,http://123.183.78.112:808/hls/88/index.m3u8
梨园频道,udp://239.3.3.89:10001
梨园频道,http://123.183.78.112:808/hls/89/index.m3u8
test,udp://239.3.3.200:10001
test,http://123.183.78.112:808/hls/200/index.m3u8
睛彩河北,http://121.29.91.219:7077/rtp/239.253.92.104:6221
